omega,A_peak,A1
56440.7787296545,4.42130189518483e-05,4.42130227378399e-05
56440.7789008281,4.42130200383244e-05,4.42130238243531e-05
56440.7790720012,4.42130211248005e-05,4.42130249108664e-05
56440.7794143502,4.42130232977524e-05,4.42130270838926e-05
56440.7800990435,4.42130276436567e-05,4.42130314299455e-05
56440.7814684332,4.42130363354648e-05,4.42130401220508e-05
56440.784207208,4.42130537190814e-05,4.42130575062618e-05
56440.7896847507,4.42130884863145e-05,4.42130922746838e-05
56440.8006398108,4.42131580207804e-05,4.42131618115282e-05
56440.8225498156,4.42132970897132e-05,4.42133008852202e-05
56440.8663693703,4.42135752275802e-05,4.42135790326147e-05
56440.9540066596,4.42141315033215e-05,4.42141353274468e-05
56441.1292739617,4.42152440548313e-05,4.42152479172825e-05
56441.479779463,4.4217469157961e-05,4.42174730976401e-05
56442.1806740737,4.42219193646583e-05,4.42219234610988e-05
56443.5819979084,4.4230819779788e-05,4.42308241989764e-05
56446.3827854724,4.42486206168556e-05,4.42486257184669e-05
56451.9769316027,4.42842223171734e-05,4.42842289315484e-05
56463.1355988974,4.4355425812725e-05,4.43554360459786e-05
56485.3351584276,4.44978331141486e-05,4.44978529719975e-05
56529.2688994408,4.47826484002646e-05,4.47826971621162e-05
56615.3194876347,4.53522773688147e-05,4.53524234174624e-05
56780.4924154203,4.64919510614814e-05,4.64920015059223e-05
57085.5848430659,4.87712906045287e-05,4.87714789899298e-05
57611.0628845185,5.33305694705074e-05,5.33305950396935e-05
58122.9799273618,5.87632657062476e-05,5.87635378417557e-05
58542.3350516966,6.41923589438747e-05,6.41923871483972e-05
58892.1904844502,6.96157172918023e-05,6.96157644004633e-05
59188.5469031527,7.50323369681091e-05,7.50326471901556e-05
59442.848583634,8.04421780300742e-05,8.04422025925892e-05
59663.4952456149,8.58436299952428e-05,8.58437037019051e-05
59856.7903900301,9.12361442629839e-05,9.12364855885629e-05
60027.5563732682,9.66199008032037e-05,9.66199210055951e-05
60179.5451027948,0.000101993300601984,0.000101993406472843
60315.7625299811,0.000107357779999022,0.000107358146213765
60439.806585943,0.000112770363780954,0.000112770386974968
60553.833431237,0.0001182588687544,0.00011825894830435
60659.2492214484,0.000123836361817425,0.000123836835076548
60757.0284960505,0.000129506067346838,0.000129506318652912
60847.9302601756,0.000135264728306532,0.00013526476841331
60932.6258693065,0.000141109904466743,0.000141109908196868
61011.5982543507,0.000147030972439745,0.000147031053101161
61085.3015639129,0.000153017950895809,0.000153018171701302
61154.1299979646,0.000159058817920062,0.00015905920433818
61218.4423467013,0.000165140929055259,0.000165141480998092
61278.5379310723,0.000171248177893092,0.000171248883640427
61334.7553006769,0.000177370838741809,0.000177371668465828
61387.3513091836,0.000183493423268204,0.000183494196699356
61436.5771478571,0.000189601623437129,0.000189602352664531
61482.7074502574,0.000195687282178754,0.000195687971663773
61569.2994655794,0.000200552801623909,0.000201481326046206
61719.2373858525,0.000201748002656384,0.000205547391536165
61839.4259723148,0.000202634671055389,0.000209129849929229
61946.3334041073,0.000203254616114892,0.000212427493902878
62038.0823472511,0.000203825012557396,0.000215349448563793
62114.7800722591,0.000204484771090528,0.000217873536506964
62182.4081579724,0.000205158737363727,0.000220072114233658
62246.4987970001,0.000205711474000189,0.000222030773690167
62306.7233316078,0.000206127883490795,0.000223829706065384
62361.9859575242,0.000206460408101029,0.000225490380173026
62412.5730005486,0.000206745923902524,0.000227022156700698
62459.1566083935,0.000207034797605483,0.000228429581215123
62502.4541706883,0.000207381055945502,0.000229717932541712
62542.9826077619,0.000207759959156591,0.000230889002087121
62581.1818328805,0.000208131798556217,0.000231948412949247
62617.3518531089,0.000208475029981157,0.000232902486166291
62651.6847784671,0.000208782461365155,0.000233756979984717
62684.3094756047,0.000209051882814728,0.000234516983071112
62715.381904951,0.000209289774491441,0.000235188938526268
62744.9971800017,0.000209497311715337,0.000235776178954065
62773.2729423755,0.000209681002548386,0.000236282054637583
62800.3444434865,0.000209844083075158,0.000236710392693557
62826.3239379934,0.00020999037605372,0.000237065086838595
62851.3436457527,0.000210122422680051,0.000237347435931129
62875.5268777869,0.000210244164060594,0.000237563014971134
62898.971688883,0.000210355028516083,0.000237713055330399
62921.8098491031,0.000210459406615342,0.000237802841251575
62944.1045854236,0.000210558082122939,0.000237837253198672
62965.9260798262,0.000210650715749466,0.00023782033773843
62987.3252394125,0.000210740362384145,0.000237759154483856
63008.343939179,0.000210826361416344,0.000237659743546144
63029.0321408235,0.00021091073420326,0.000237527504311983
63049.378876123,0.000210991465351355,0.000237369035409352
63069.4513863109,0.000211070520381505,0.000237189462467545
63089.3123952854,0.000211148125256398,0.000236993567699235
63109.0922654066,0.000211224056180883,0.000236783926666475
63128.7576749471,0.000211299150309362,0.000236564600233826
63148.3090572119,0.000211371773339849,0.000236337020957316
63167.6963568201,0.00021144280422452,0.000236104973697331
63186.9190813785,0.000211511327605267,0.000235868914119593
63205.9873001129,0.000211576731315457,0.000235628483184567
63224.876724441,0.0002116410497098,0.00023538489987137
63243.6014342909,0.000211702378214321,0.000235137301622833
63262.2191866853,0.000211761437611671,0.000234882513601073
63280.6633285734,0.000211818981296215,0.000234623321546911
63298.9660244455,0.000211875509929745,0.000234358068894469
63317.208801177,0.000211932181171193,0.000234082835302946
63335.382825685,0.000211987382379978,0.000233797787913847
63353.5414668227,0.000212041520253508,0.000233500802697622
63371.758927624,0.000212097011249417,0.000233189759365156
63390.0892402949,0.000212153412167837,0.000232862468133082
63408.6931710053,0.000212209607873984,0.000232510472914095
63432.1963099003,0.000212325153299056,0.000231881692510856
63458.0876678443,0.000212466296358491,0.000231140939358281
63483.9352989914,0.000212605363676087,0.000230432180058441
63509.3680763659,0.000212737815661613,0.000229769979265954
63534.1481598879,0.000212858165763174,0.000229159714839723
63558.1594880584,0.000212966952787261,0.000228600085924838
63581.2664859628,0.00021306139490959,0.000228089309821492
63603.4452376422,0.000213138627017052,0.0002276203027373
63624.6818172709,0.000213195217680198,0.000227186596578616
63644.9342610346,0.000213231292831982,0.000226784340955433
63664.2624221483,0.000213244649082357,0.000226406036904136
63682.7374376032,0.00021323495504268,0.000226042769500424
63700.6792367556,0.000213208532249715,0.000225675218999402
63735.4955147148,0.000213332470089,0.000224364352939724
63779.5627724602,0.000213531871362034,0.000222662100785015
63822.8111736081,0.000213707908204932,0.000221145416284771
63863.6983476588,0.000213847247810573,0.000219861090589894
63901.5918082209,0.00021394676770169,0.000218793795461265
63936.4865437022,0.000214008672205732,0.00021790251206884
63968.4878022743,0.000214031786800917,0.000217150143079416
63998.2003303167,0.000214028337829127,0.000216490841641127
64026.0768541985,0.000214002865282564,0.000215892571717285
64052.5778865616,0.000213958174897282,0.000215328574930973
64077.6922313891,0.00021389541385657,0.000214792340144446
64102.0886367779,0.000213821519378778,0.000214256488490342
64125.8622399346,0.000213736972072814,0.000213715681809211
64149.2477201904,0.000213646929767992,0.00021316067416177
64172.5859733518,0.000213553513376879,0.000212579851195879
64196.0807628747,0.000213459415143929,0.000211967587772146
64219.8359314545,0.000213363632147921,0.000211321648640411
64244.165171005,0.000213269991216672,0.000210635310961608
64268.9525415011,0.000213176174895235,0.000209913850035028
64293.7664403735,0.000213081650960079,0.000209171424791075
64317.8825529297,0.000212973288332096,0.000208426666626604
64339.9938680306,0.000212837412787906,0.000207709736643266
64359.2311417762,0.00021266349014285,0.000207033684774254
64374.989741094,0.000212443148940607,0.000206402557053828
64386.9699479136,0.000212175424599706,0.000205812896044948
64395.1778897251,0.000211858777373618,0.000205254802379158
64399.5098341709,0.000211492199820056,0.000204722843809353
64400.0357466374,0.000211081789273089,0.000204210168117261
64397.0208672355,0.000210632815484983,0.00020370742830225
64390.2930024994,0.000210142800500731,0.000203213940338631
64379.9820664213,0.000209618781048878,0.000202726393617526
64366.1582493633,0.000209063692252932,0.000202241798033685
64348.7139636961,0.000208478140188367,0.000201761886228863
64327.4149093063,0.000207862020196395,0.000201289669141954
64301.9618560274,0.000207211063976294,0.000200829241219839
64272.0385799089,0.000206524565885106,0.000200382878029535
64236.8335353316,0.000205791809918272,0.000199957773558697
64195.0141149997,0.000204995316956087,0.000199557064809718
64144.1753998668,0.000204110001599666,0.000199197288152433
64079.1905056336,0.000203079390312322,0.000198930132241281
63982.1768272206,0.000201704498511901,0.000198983080236813
63881.9138710325,0.000196103467981418,0.000196104221578396
63924.4016428554,0.000190020387802705,0.00019002118289754
63969.7214262583,0.000183898926233718,0.000183899749997875
64018.0988892835,0.000177749960626345,0.000177750783466959
64069.7683585584,0.000171586220798391,0.000171586952219984
64125.0210650751,0.000165416592773177,0.000165417222112404
64184.1224555675,0.000159256092288135,0.000159256602610958
64247.3409603031,0.000153121382639626,0.000153121756290623
64315.028935589,0.000147023130594958,0.000147023361755772
64387.498072315,0.000140978059938971,0.000140978160488401
64465.1251428672,0.000134998969344181,0.000134998983047347
64548.311005663,0.000129098748289481,0.000129098763154644
64637.5452136076,0.000123286193612555,0.000123286353590941
64733.3501945637,0.000117570733518689,0.000117571247841352
64836.3986765783,0.000111957143352333,0.000111957288598981
64947.5756119475,0.00010644227884296,0.000106442280379066
65068.0629364133,0.000101017484527883,0.00010101771702453
65200.1396918886,9.56420300911274e-05,9.56422028011507e-05
65347.2926872112,9.02567893190988e-05,9.02567909691878e-05
65512.2960303438,8.48618429803857e-05,8.48620644869652e-05
65698.648614009,7.94584966662803e-05,7.94586190441641e-05
65910.8271781117,7.40470653547588e-05,7.40470697360609e-05
66154.6531867734,6.86278568443837e-05,6.86280623078288e-05
66437.8378972173,6.3202213707891e-05,6.3202292682181e-05
