omega,A_peak,A1
65256.5963784952,9.35060008822841e-05,9.35060026599133e-05
65410.4660280627,8.81165931651041e-05,8.81168236791392e-05
65583.4758140538,8.27184373908812e-05,8.27185646425061e-05
65779.4771660169,7.73118233947063e-05,7.73118279449537e-05
66003.4284756962,7.18970244924232e-05,7.18972391483584e-05
66261.8230610749,6.64753771626825e-05,6.64754609250223e-05
66563.3317812332,6.10472092502682e-05,6.10472176015513e-05
66919.7967372621,5.56131460356118e-05,5.56133400364435e-05
67347.8206137356,5.017480465713e-05,5.01748514308524e-05
67871.4097677265,4.47331267321446e-05,4.47331403207227e-05
68526.5728487609,3.92901612301331e-05,3.92903320088909e-05
69369.7494322073,3.3850132488367e-05,3.38501487250164e-05
70494.1851314699,2.84200674110566e-05,2.84200913202393e-05
72063.6430706277,2.30175331663466e-05,2.30176010900717e-05
74383.7122849429,1.7689584896642e-05,1.76895855526333e-05
78030.4769618378,1.25782599031387e-05,1.25782967986212e-05
