omega,A_peak,A1
56440.7787296545,4.42130189518483e-05,4.42130227378399e-05
56440.7789008281,4.42130200383244e-05,4.42130238243531e-05
56440.7790720012,4.42130211248005e-05,4.42130249108664e-05
56440.7794143502,4.42130232977524e-05,4.42130270838926e-05
56440.7800990435,4.42130276436567e-05,4.42130314299455e-05
56440.7814684332,4.42130363354648e-05,4.42130401220508e-05
56440.784207208,4.42130537190814e-05,4.42130575062618e-05
56440.7896847507,4.42130884863145e-05,4.42130922746838e-05
56440.8006398108,4.42131580207804e-05,4.42131618115282e-05
56440.8225498156,4.42132970897132e-05,4.42133008852202e-05
56440.8663693703,4.42135752275802e-05,4.42135790326147e-05
56440.9540066596,4.42141315033215e-05,4.42141353274468e-05
56441.1292739617,4.42152440548313e-05,4.42152479172825e-05
56441.479779463,4.4217469157961e-05,4.42174730976401e-05
56442.1806740737,4.42219193646583e-05,4.42219234610988e-05
56443.5819979084,4.4230819779788e-05,4.42308241989764e-05
56446.3827854724,4.42486206168556e-05,4.42486257184669e-05
56451.9769316027,4.42842223171734e-05,4.42842289315484e-05
56463.1355988974,4.4355425812725e-05,4.43554360459786e-05
56485.3351584276,4.44978331141486e-05,4.44978529719975e-05
56529.2688994408,4.47826484002646e-05,4.47826971621162e-05
56615.3194876347,4.53522773688147e-05,4.53524234174624e-05
56780.4924154203,4.64919510614814e-05,4.64920015059223e-05
57085.5848430659,4.87712906045287e-05,4.87714789899298e-05
57611.0628845185,5.33305694705074e-05,5.33305950396935e-05
58122.9799273618,5.87632657062476e-05,5.87635378417557e-05
58542.3350516966,6.41923589438747e-05,6.41923871483972e-05
58892.1904844502,6.96157172918023e-05,6.96157644004633e-05
59188.5469031527,7.50323369681091e-05,7.50326471901556e-05
59442.848583634,8.04421780300742e-05,8.04422025925892e-05
59663.4952456149,8.58436299952428e-05,8.58437037019051e-05
59856.7903900301,9.12361442629839e-05,9.12364855885629e-05
60027.5563732682,9.66199008032037e-05,9.66199210055951e-05
60179.5451027948,0.000101993300601984,0.000101993406472843
60315.7625299811,0.000107357779999022,0.000107358146213765
60439.806585943,0.000112770363780954,0.000112770386974968
60553.833431237,0.0001182588687544,0.00011825894830435
60659.2492214484,0.000123836361817425,0.000123836835076548
60757.0284960505,0.000129506067346838,0.000129506318652912
60847.9302601756,0.000135264728306532,0.00013526476841331
60932.6258693065,0.000141109904466743,0.000141109908196868
61011.5982543507,0.000147030972439745,0.000147031053101161
61085.3015639129,0.000153017950895809,0.000153018171701302
61154.1299979646,0.000159058817920062,0.00015905920433818
61218.4423467013,0.000165140929055259,0.000165141480998092
61278.5379310723,0.000171248177893092,0.000171248883640427
61334.7553006769,0.000177370838741809,0.000177371668465828
61387.3513091836,0.000183493423268204,0.000183494196699356
61436.5771478571,0.000189601623437129,0.000189602352664531
61482.7074502574,0.000195687282178754,0.000195687971663773
61530.4434931733,0.000201634698376725,0.000201725494700039
61602.9364569002,0.000206872235199269,0.000207580310250225
61682.759819082,0.000211795735790493,0.000213255355529048
61764.2267117314,0.000216491408679803,0.000218740509915056
61844.7635944902,0.000220959523336579,0.000224021894679671
61922.919166176,0.000225184461763555,0.000229080892428487
61997.845101608,0.000229161576903595,0.000233901304433858
62069.2055412985,0.000232908532375447,0.000238482238432285
62137.5448473966,0.000236488184387566,0.000242867750190081
62202.9257436684,0.00023993161595652,0.000247062064074196
62265.3855064683,0.000243258507882304,0.00025106090672996
62324.9377770715,0.000246481687633011,0.000254856373725033
62381.6350655483,0.000249609163316683,0.000258440990109073
62435.5594730993,0.000252657057002458,0.000261807832672914
62486.7764449015,0.000255641972418968,0.000264949701388455
62535.4681442787,0.000258588115708639,0.00026786614300527
62581.7554681767,0.000261514474610982,0.000270554538328231
62625.8336991792,0.000264438571862822,0.000273018303366693
62667.8920599589,0.000267371713865682,0.000275263190054045
62708.1350675174,0.000270322052129931,0.000277297336382266
62746.8349781904,0.000273301535449806,0.000279136492214539
62784.2605064939,0.000276316784439767,0.000280796630097425
62820.6940142948,0.00027938272418822,0.000282299103379606
62856.4860087058,0.000282518322838967,0.000283668449550612
62892.0333133677,0.000285751309130081,0.000284936011307486
62927.7371857331,0.000289116184912215,0.000286135807249213
62964.0634225218,0.000292653487989977,0.000287309157112583
63001.5751392103,0.000296427339485745,0.000288510268510433
63040.8545854095,0.000300499632907204,0.000289803619894657
63082.6161081449,0.00030495786395312,0.000291273083343671
63127.645032975,0.000309900126538819,0.000293030722020104
63176.7934503034,0.000315434827763622,0.000295217694321214
63230.8897976766,0.00032165793360179,0.000298009781598993
63290.3372242543,0.000328610588315734,0.000301591012124925
63354.6594876185,0.00033620445062758,0.000306088384481683
63422.5963109696,0.00034423609461954,0.00031150520653223
63492.9918609127,0.000352526121825057,0.000317757912248407
63565.2459119784,0.000360980871994343,0.000324738757967644
63639.0252026917,0.000369582509623596,0.000332341039772151
63713.8087774477,0.000378329579294509,0.000340441458860966
63788.8010987559,0.000387201382467257,0.000348896109928661
63863.0585478515,0.000396149370784626,0.000357550957889861
63935.5929127163,0.000405086961039053,0.000366244194167576
64005.5583675881,0.000413922121123857,0.000374836242735581
64072.1863476024,0.000422537447721459,0.000383190782085113
64134.985943629,0.000430838858115337,0.000391211358440304
64193.4898856091,0.000438715947787946,0.000398798320715982
64247.4685918828,0.000446098057092195,0.000405890392636817
64296.7999540662,0.000452925922964386,0.000412437173155608
64341.6185587466,0.000459181546535874,0.000418426670847702
64382.258820936,0.000464890686273207,0.000423886149894204
64419.0014196016,0.000470069594688638,0.000428834970519363
64452.0473817837,0.00047471461708248,0.000433276230786171
64481.9245979125,0.00047890562799882,0.000437280555156113
64508.9758041818,0.000482679361456377,0.000440889000779298
64533.4619670378,0.000486065694753478,0.000444128390497156
64555.8073588275,0.000489129631386137,0.000447061095022352
64576.141424666,0.000491879232242235,0.000449696077228574
64594.7569477072,0.000494359759323344,0.000452077734111904
64611.8262569115,0.000496600499500345,0.000454227596671817
64627.5480894702,0.000498622407486031,0.000456173667984011
64642.1654699983,0.000500469834466446,0.000457954434314711
64655.743470814,0.000502149731145052,0.000459574069149616
64668.5404911112,0.000503700485262604,0.000461072462464708
64680.7502056953,0.000505140061848708,0.000462467195081515
64692.3828767555,0.000506467806325145,0.000463757169773817
64703.5232646854,0.000507701303180069,0.000464958561961667
64714.2415064868,0.000508853405875295,0.000466083608674936
64724.4760861553,0.000509903402483151,0.000467113760556683
64734.2982075308,0.000510869553032673,0.000468065301186914
64743.7383577801,0.000511757027633458,0.000468943131404172
64752.7933525691,0.000512561804376347,0.000469743828579443
64761.440705698,0.000513274329321422,0.00047045896805737
64769.7622267859,0.000513915318346407,0.000471107460339505
64777.7707525166,0.000514486164502805,0.000471690733325051
64785.4402525297,0.000514976944185064,0.00047219998635634
64792.7744718735,0.000515386435321666,0.000472634268617709
64799.826168153,0.000515729248623834,0.000473006036099984
64806.6017610849,0.000516006616542025,0.000473315555991962
64813.0848977447,0.000516209997752412,0.000473556922246661
64819.2548592275,0.00051633128631293,0.000473722935180452
64825.1830208312,0.000516389424856041,0.000473830990927198
64830.885960707,0.000516387247668912,0.000473883875543855
64836.3368351449,0.000516317215543657,0.00047387452664598
64841.5159212726,0.000516171868875576,0.000473796268715576
64846.414859982,0.000515950285397207,0.00047364558387396
64851.066523106,0.000515659009106875,0.000473430782203345
64855.4702776115,0.000515296369105209,0.000473150747479252
64859.689944061,0.000514877001540527,0.000472819402867903
64863.6642487062,0.000514384888022607,0.000472421645315307
64867.3881281872,0.000513817719652373,0.000471955353016208
64870.8592110844,0.000513173867457702,0.000471419040999785
64874.0748720179,0.000512452459736178,0.000470811181663735
64877.0892506503,0.000511667045645586,0.000470143733960426
64879.8599310784,0.000510804196005514,0.000469405880126404
64882.3667279993,0.000509857910853828,0.000468592014287989
64884.6062266569,0.000508826434846398,0.000467700535101787
64886.5750473579,0.000507708075962713,0.000466729899950165
64888.3305753943,0.000506516648446183,0.00046569317762271
64889.8197535119,0.000505238029164185,0.000464577106119087
64891.0276649563,0.00050386779423242,0.000463377578560633
64891.954691947,0.000502400367187647,0.00046208968888791
64892.6134259012,0.000500806593688326,0.000460687884328435
64892.9036705115,0.000499042984221634,0.000459133637129171
64892.9055622068,0.000497129840359453,0.000457446052282185
64892.4659694085,0.000495016257529932,0.000455575861691203
64891.5975354597,0.000492701918388387,0.000453525828731025
64890.1930858501,0.00049015241667635,0.000451265039184357
64888.1420888924,0.000487332207570226,0.000448760975809672
64885.353609195,0.000484221001478601,0.00044599267964663
64881.8178654056,0.000480806779853867,0.000442953552091534
64877.241456225,0.000477018051169292,0.000439577197693509
64871.635077148,0.00047285615955788,0.000435867311228408
64864.749562178,0.000468274429345969,0.000431776160834407
64856.3616755808,0.000463220454521982,0.00042726322523786
64846.4510939399,0.000457720110318474,0.000422347214530958
64834.7736040801,0.000451734596156622,0.000416997492027947
64821.1650942242,0.000445266400886387,0.000411215341011569
64805.5752784841,0.000438355083425405,0.000405036669094766
64787.9506468723,0.00043104237571546,0.000398500100364805
64768.4083101211,0.000423410165080861,0.000391680913195324
64746.9567185243,0.00041551480658773,0.000384630822246484
64723.8054476927,0.000407450219229576,0.000377435124062362
64699.0876765197,0.000399281380201237,0.000370152855362539
64673.0143651766,0.000391080002043115,0.00036284931462469
64645.7634027357,0.000382901803767541,0.000355575117365307
64617.4673929107,0.000374790464190796,0.000348365608507104
64588.3364126935,0.00036678158232336,0.000341256524427715
64558.402022453,0.000358883040401743,0.000334252827107097
64527.78073714,0.000351113427757586,0.000327370327053863
64496.5656081691,0.000343484910115145,0.000320619018875694
