freq_hz,omega_rad_s,amp_m,amp_h1_m
9.329875003423335329e+02,5.862133353933159015e+03,1.863253475732557415e-06,1.933025317263720106e-06
9.317375003495179726e+02,5.854279372344325566e+03,1.705971258476087553e-06,1.775254693431353271e-06
9.304875003550805559e+02,5.846425390745302138e+03,1.558770700710532555e-06,1.630610175590879239e-06
9.292375003594353302e+02,5.838571409138689887e+03,1.421770250295296609e-06,1.498605162366000419e-06
9.279875003628777677e+02,5.830717427526344181e+03,1.294634130342877024e-06,1.378396002821457327e-06
9.267375003656219405e+02,5.822863445909611983e+03,1.177762765227959758e-06,1.269030245513831961e-06
9.217375003716774700e+02,5.791447519411762187e+03,9.012849199690073701e-07,9.213623360441639172e-07
9.204875003726690466e+02,5.783593537784017826e+03,8.451566354982073111e-07,8.526606260213147446e-07
9.154875003751492386e+02,5.752177611263703511e+03,6.537766546054583109e-07,6.304588600126626026e-07
9.104875003764994972e+02,5.720761684736289681e+03,5.036487410205221516e-07,4.704444582165998184e-07
9.054875003772885975e+02,5.689345758205349739e+03,3.890403790510264757e-07,3.530911686778561641e-07
9.004875003777736993e+02,5.657929831672499859e+03,2.990030675476074611e-07,2.662784391165315915e-07
8.954875003780832685e+02,5.626513905138546761e+03,2.292622790532886275e-07,2.018969217938443364e-07
8.904875003782865406e+02,5.595097978603926094e+03,1.757011119094439479e-07,1.541121532900603146e-07
8.854875003784231922e+02,5.563682052068887060e+03,1.354084826777797158e-07,1.185024940160130023e-07
8.804875003785175522e+02,5.532266125533581544e+03,1.042401983602080558e-07,9.168379038054211959e-08
8.754875003785838317e+02,5.500850198998100495e+03,8.073933180521622984e-08,7.112357284156250874e-08
8.704875003786318075e+02,5.469434272462503941e+03,6.223367215311199293e-08,5.498973555885938459e-08
8.654875003786671641e+02,5.438018345926828260e+03,4.744531555525837012e-08,4.199259468210779787e-08
8.604875003786938805e+02,5.406602419391098010e+03,3.537418055119240414e-08,3.123772679978048327e-08
8.554875003787143442e+02,5.375186492855328652e+03,2.518739104207881810e-08,2.210134508054096288e-08
8.504875003787302603e+02,5.343770566319531099e+03,1.598020013955447069e-08,1.400224915897059781e-08
8.454875003787431069e+02,5.312354639783713537e+03,8.457299344434680391e-09,6.847513142509894272e-09
8.404875003787534524e+02,5.280938713247880514e+03,2.336055728455883028e-09,6.598466390167506463e-10
8.354875003787618652e+02,5.249522786712035668e+03,5.430222736681621555e-09,5.942864402225409959e-09
8.304875003787689138e+02,5.218106860176181726e+03,1.127408650411921388e-08,1.185552601818970650e-08
8.254875003787747119e+02,5.186690933640320509e+03,1.714776095323312293e-08,1.767710143679528258e-08
8.204875003787797141e+02,5.155275007104453834e+03,2.306870057034225986e-08,2.352962933362550291e-08
